"00016351505422";"Masterpiece";"1135616";"102060-0";"";"20050620"
"00016351505521";"Treasures Of The Heart";"1134290";"102060-0";"";"20050620"
"00016351505729";"Listen";"1133976";"102060-0";"";"20050620"
"00016351505828";"Declassified";"1134403";"102060-0";"";"20050620"
"00016351505927";"Extra Sensual Perception";"1135569";"102060-0";"";"20060522"
"00016351506023";"Dizzy's World";"1135567";"102060-0";"";"20060522"
"00016351506122";"Smooth Jazz:  Pure Pleasure";"1133966";"102060-0";"";"20060522"
"00016351506221";"One Special Moment";"1133244";"102060-0";"";"20050620"
"00016351506320";"In The Spirit Of John Coltrane";"1136545";"102060-0";"";"20050620"
"00016351506429";"Fattburger.com";"1134159";"102060-0";"";"20050620"
"00016351506528";"Here's The Deal";"1134402";"102060-0";"";"20050620"
"00016351506627";"Sweet On You";"1135618";"102060-0";"";"20050620"
"00016351506726";"Make Them Like It";"1136875";"102060-0";"";"20050620"
"00016351506825";"Far Away Day";"1136125";"102060-0";"";"20050620"
"00016351506924";"Smooth Jazz: Sexual Healing";"1133966";"102060-0";"";"20060522"
"00016351507129";"Won't You Let Me Love You";"1133975";"102060-0";"";"20060522"
"00016351507228";"Smooth Jazz #1's";"1133966";"102060-0";"";"20000912"
"00016351507327";"Swing Low Sweet Clarinet";"1137072";"102060-0";"";"20050620"
"00016351507426";"It's All In Your Mind";"1134403";"102060-0";"";"20050620"
"00016351507525";"Satin Doll: Smooth Jazz Plays Duke Ellington";"1133966";"102060-0";"";"20060522"
"00016351507624";"This Side Of Paradise";"1134290";"102060-0";"";"20050620"
"00016351507723";"Strut";"1135569";"102060-0";"";"20060522"
"00016351507822";"In A Heartbeat";"1133976";"102060-0";"";"20050620"
"00016351507921";"Smooth Jazz:  Saxuality";"1133966";"102060-0";"";"20060522"
"00016351508027";"From The Heart";"1133244";"102060-0";"";"20060522"
"00016351508126";"T.G.I.F.";"1134159";"102060-0";"";"20050620"
"00016351508225";"Smooth Jazz Plays The Hits!";"1133966";"102060-0";"";"20060522"
"00016351508324";"Butterfly";"1135616";"102060-0";"";"20050620"
"00016351508423";"Reflections";"1135617";"102060-0";"";"20050620"
"00016351508522";"Smooth Jazz - The Quiet Storm";"1133966";"102060-0";"";"20060522"
"00016351508621";"Rendezvous";"1133975";"102060-0";"";"20091012"
"";"Smooth Jazz: Sweet Love";"1133966";"102060-0";"";"20060522"
"00016351508829";"Slow Dance";"1134161";"102060-0";"";"20060522"
"00016351508928";"Smoothe Urban Jazz";"1133143";"102060-0";"";"20050620"
"00016351509024";"All There Is";"1133976";"102060-0";"";"20050620"
"00016351509222";"Smooth Jazz Fever";"1133966";"102060-0";"";"20050620"
"00016351509321";"Mi Alma Latina (My Latin Soul)";"1134290";"102060-0";"";"20050620"
"00016351509420";"Someone To Love You";"1133244";"102060-0";"";"20060522"
"00016351509529";"Evolution";"1134402";"102060-0";"";"20060522"
"00016351509628";"Night Grooves";"1135618";"102060-0";"";"20050620"
"00016351509727";"Midnight Love";"1133975";"102060-0";"";"20060522"
"00016351509826";"Smooth Jazz Brown Sugar";"1133966";"102060-0";"";"20050620"
"00016351509925";"Sizzlin'";"1134159";"102060-0";"";"20050620"
"00016351510020";"Work It!";"1133143";"102060-0";"";"20050620"
"00016351510129";"Sweet Spot";"1135569";"102060-0";"";"20060522"
"00016351510228";"Smooth Jazz: Sax At Midnight";"1133966";"102060-0";"";"20050620"
"00016351510327";"Another Day";"1134230";"102060-0";"";"20050620"
"00016351510426";"All The Way";"1134161";"102060-0";"";"20060522"
"00016351510525";"The Perfect Love";"1135625";"102060-0";"";"20050620"
"00016351510624";"Negril Chill";"1133244";"102060-0";"";"20050620"
"00016351510723";"Party";"1135616";"102060-0";"";"20050620"
"00016351510822";"No. 1 Smooth Jazz Radio Hits";"1133966";"102060-0";"";"20060522"
"00016351510921";"Tha' Hot Club: Tha' Real Hip-Hop Smooth Urban Jazz";"1136544";"102060-0";"";"20050620"
"00016351511027";"The Best of Groove Collective";"1134403";"102060-0";"";"20040224"
"00016351511126";"The Classic R&B Collection";"1133975";"102060-0";"";"20050620"
"00016351511225";"Jazz For Couch Potatoes!";"1154306";"102060-0";"";"20050620"
"00016351511324";"In The Name Of Love";"1133244";"102060-0";"";"20060522"
"00016351511423";"Acoustic Heart 2: The Passion and Romance of Acoustic Guitar Masters";"1133966";"102060-0";"";"20060522"
"00016351511522";"Sensuous Smooth Jazz Guitar";"1133966";"102060-0";"";"20060522"
"00016351511621";"Smooth Urban Jazz: The Slow Jamz Album";"1133143";"102060-0";"";"20050620"
"00016351511829";"Slow";"1133833";"102060-0";"";"20050620"
"00016351511928";"A Smooth Urban Jazz Love Letter";"1135619";"102060-0";"";"20050620"
"00016351512024";"Work to Do";"1134159";"102060-0";"";"20050620"
"00016351512123";"Sweet Saxations";"1135625";"102060-0";"";"20050620"
"00016351512222";"Smooth Jazz Plays Your Favorite Hits";"1133966";"102060-0";"";"20060522"
"00016351512321";"When I'm With You";"1133976";"102060-0";"";"20050620"
"00016351512420";"Got It Goin' On";"1135618";"102060-0";"";"20050620"
"00016351512529";"To Ella With Love";"1133833";"102060-0";"";"19960813"
"00016351512628";"Easy Living";"1133833";"102060-0";"";"20050620"
"00016351512727";"Signature";"1133833";"102060-0";"";"20050620"
"";"Greatest Hits!";"1133975";"102060-0";"";"20050620"
"00016351512925";"Touch Me In The Morning";"1133966";"102060-0";"";"20050620"
"00016351513021";"110 Degrees and Rising";"1135569";"102060-0";"";"20050620"
"00016351513120";"In The V.I.P. Room";"1136544";"102060-0";"";"20050620"
"00016351513229";"Honey Love - Smooth Jazz Plays R. Kelly";"1133966";"102060-0";"";"20050620"
"00016351513328";"All For Love";"1133244";"102060-0";"";"20050620"
"00016351513427";"Streetwize Does Dre";"1133143";"102060-0";"";"20060123"
"00016351513526";"No. 1 Smooth Jazz Hits!";"1133966";"102060-0";"";"20060123"
"00016351513625";"Sweet Classic Soul";"1133236";"102060-0";"";"20060220"
"00016351513724";"Smooth Jazz Does The Diva";"1134057";"102060-0";"";"20060220"
"00016351513823";"Elixir";"1135625";"102060-0";"";"20060327"
"00016351513922";"Classic Love Songs";"1133739";"102060-0";"";"20060327"
"00016351514028";"In The Moment";"1134055";"102060-0";"";"20060522"
"00016351514127";"Sax Me";"1133966";"102060-0";"";"20060626"
"00016351514226";"Forever: Timeless R&B Classics";"1136881";"102060-0";"";"20060724"
"00016351514325";"Live";"1133975";"102060-0";"";"20050620"
"00016351514424";"The Love Song Collection";"1133976";"102060-0";"";"20050620"
"00016351514523";"Sweet Surrender";"1134212";"102060-0";"";"20050620"
"00016351514622";"Smooth Jazz Plays Motown's Greatest Love Songs";"1133966";"102060-0";"";"20050620"
"00016351514721";"You Are My Lady";"1133244";"102060-0";"";"20050620"
"00016351514820";"Greatest Hits";"1134159";"102060-0";"";"20050620"
"00016351514929";"The Very Best of Nestor Torres";"1134290";"102060-0";"";"20050620"
"00016351515025";"Quiet Storm Slow Jams";"1133966";"102060-0";"";"20050620"
"00016351515124";"Feel The Fire";"1133236";"102060-0";"";"20050620"
"00016351515223";"Sexy Love";"1133143";"102060-0";"";"20050620"
"00016351515322";"A Mighty Love";"1133739";"102060-0";"";"20050620"
"00016351515421";"The Look of Love";"1135625";"102060-0";"";"20050620"
"00016351515520";"My Inspiration";"1134055";"102060-0";"";"20050620"
"00016351515629";"Overjoyed! A Celebration of Stevie Wonder";"1133966";"102060-0";"";"20050620"
"00016351515728";"Today's #1 Smooth Jazz Radio Hits!";"1133966";"102060-0";"";"20050620"
"00016351515827";"Sweet, Smooth & Sexy! The Ultimate Collection of Sax For Lovers";"1133966";"102060-0";"";"20080428"
"00016351515926";"The Sax Pack";"1134070";"102060-0";"";"20080317"
"00016351516022";"Global Noize";"1136621";"102060-0";"";"20080428"
"00016351516121";"Simply The Very Best of Today's Smooth Jazz Guitar";"1133966";"102060-0";"";"20080526"
"00016351516220";"Streetwize Does Mary J. Blige";"1133143";"102060-0";"";"20080721"
"00016351516428";"Ready For Love";"1133739";"102060-0";"";"20080818"
"00016351516527";"George Clinton And His Gangsters Of Love";"1134244";"102060-0";"";"20130813"
"00016351516626";"I Want You - Love in the Spirit of Marvin";"1133244";"102060-0";"";"20081027"
"00016351516725";"Metamorphosis";"1133236";"102060-0";"";"20081013"
"00016351516824";"Hot Buttered Jazz - Celebrating The Genius of Isaac Hayes";"1133244";"102060-0";"";"20090209"
"00016351516923";"#1 Smooth Jazz Radio Hits!";"1133976";"102060-0";"";"20090126"
"00016351517029";"Back In The Day";"1135324";"102060-0";"";"20090223"
"00016351517128";"Star Power";"1135640";"102060-0";"";"20090223"
"00016351517227";"Follow The Sun";"1136379";"102060-0";"";"20090519"
"00016351517326";"Future Boogie";"1139335";"102060-0";"";"20090421"
"00016351517425";"Put U To Bed";"1133143";"102060-0";"";"20090728"
"00016351517524";"Brother's Keeper";"1139395";"102060-0";"";"20090915"
"00016351517623";"The Gift Of Love";"1139460";"102060-0";"";"20090929"
"00016351517722";"The Pack Is Back";"1134070";"102060-0";"";"20090929"
"00016351517821";"Sunday Morning";"1133259";"102060-0";"";"20091027"
"00016351517920";"First Love";"1134055";"102060-0";"";"20091027"
"00016351518026";"Love Stories";"1133244";"102060-0";"";"20100126"
"00016351518125";"A Woman In Love";"1133236";"102060-0";"";"20100126"
"00016351518323";"Transatlantic R.P.M.";"1133825";"102060-0";"";"20100727"
"00016351518422";"Sound Advice";"268735";"5559-0";"";"20110125"
"00016351518521";"South Beach";"1133249";"102060-0";"";"20100831"
"00016351518620";"Love You Found Me";"1133740";"102060-0";"";"20100928"
"00016351518729";"Backatcha!";"87050";"5559-0";"";"20101026"
"00016351518828";"The Roadâ€¦";"1133824";"102060-0";"";"20110125"
"00016351518927";"Time Together";"1133840";"102060-0";"";"20110614"
"00016351519023";"Seven Large";"1133259";"102060-0";"";"20110517"
"00016351519122";"Motions Of Love";"1133236";"102060-0";"";"20111108"
"00016351519221";"This Heart Of Mine";"1133244";"102060-0";"";"20111025"
"00016351519320";"The Smooth Side Of Soul";"1133404";"102060-0";"";"20120131"
"00016351519429";"Smooth And Sexy; Smooth Jazz For Lovers!";"1133966";"102060-0";"";"20120410"
"00016351519528";"Surreal";"1133825";"102060-0";"";"20120327"
"00016351519627";"Luther, Teddy & Marvin: Smooth Jazz Pays Tribute To The Icons Of Love";"1141332";"102060-0";"";"20120731"
"00016351519726";"House Of Groove";"1133259";"102060-0";"";"20120925"
"00016351519825";"Feelin' Sexy";"1133143";"102060-0";"";"20121030"
"00016351519924";"Cover Story";"1133966";"102060-0";"";"20130129"
"00016351520128";"The Makem and Clancy Collection";"1137075";"102060-0";"";"20050620"
"00016351520227";"Tommy Makem and Liam Clancy";"1137181";"102060-0";"";"20050620"
"00016351520326";"The Makem & Clancy Concert";"1135583";"102060-0";"";"20060522"
"00016351520425";"Two For The Early Dew";"1137181";"102060-0";"";"20050620"
"00016351520524";"The Dutchman";"1137171";"102060-0";"";"20050620"
"00016351520623";"Live at the National Concert Hall";"1135583";"102060-0";"";"20060522"
"00016351520722";"At The Royal Festival Hall";"1136392";"102060-0";"";"20050620"
"00016351521323";"We've Come A Long Way";"1137181";"102060-0";"";"20050620"
"00016351522429";"25th Anniversary";"233849";"5559-0";"";"19910701"
"00016351522726";"Profile";"86997";"5559-0";"";"20110101"
"00016351523020";"Rifles Of The I.R.A";"1136090";"102060-0";"";"19950101"
"00016351523228";"Across The Broad Atlantic";"1136090";"102060-0";"";"20050620"
"00016351523426";"Sing Out For Ireland";"1136090";"102060-0";"";"19950101"
"00016351523723";"Winds Of Change";"1137153";"102060-0";"";"20050620"
"00016351523822";"Reunion";"1137074";"102060-0";"";"20050620"
"00016351523921";"The Best Of Barley Bree";"1137071";"102060-0";"";"20050620"
"00016351524027";"From The Archive";"233909";"5559-0";"";"19950221"
"00016351530226";"Serenity";"1135574";"102060-0";"";"20050620"
"00016351530325";"Classic Tranquility";"1135574";"102060-0";"";"20050620"
"00016351530424";"Sea Of Tranquility";"1135574";"102060-0";"";"20050620"
"00016351530523";"Phil Coulter's Christmas";"1135574";"102060-0";"";"20050620"
"00016351530622";"Forgotten Dreams";"1135574";"102060-0";"";"20050620"
"00016351530721";"Peace And Tranquility";"1135574";"102060-0";"";"20050620"
"00016351530820";"Words & Music";"1135574";"102060-0";"";"20050620"
"00016351530929";"Scottish Tranquility";"1135574";"102060-0";"";"20050620"
"00016351531025";"A Touch Of Tranquility";"1135574";"102060-0";"";"20050620"
"00016351531124";"Recollections";"1135574";"102060-0";"";"20050620"
"00016351531223";"American Tranquility";"1135574";"102060-0";"";"20050620"
"00016351531322";"Celtic Horizons";"1135574";"102060-0";"";"20050620"
"00016351531421";"The Live Experience";"1137078";"102060-0";"";"20050620"
"00016351531629";"The Songs I Love So Well";"1135574";"102060-0";"";"20050620"
"00016351531728";"Country Serenity";"1135574";"102060-0";"";"20060220"
"00016351531827";"Timeless Tranquility (Twenty Year Celebration)";"1135574";"102060-0";"";"20080218"
"00016351531926";"Heartland: The Composer's Salute To Celtic Thunder";"1141235";"102060-0";"";"20110927"
"00016351532022";"This Is The Moment";"1134072";"102060-0";"";"20111108"
"00016351532121";"Thinking Of Home";"1134072";"102060-0";"";"20140218"
"00016351532220";"Echoes Of Home: The Most Glorious Celtic Melodies";"1135574";"102060-0";"";"20140429"
"00016351540027";"Whisper";"1133727";"102060-0";"";"20130226"
"00016351540126";"Say Yes";"1133739";"102060-0";"";"20130312"
"00016351540225";"Leap Of Faith";"1133237";"102060-0";"";"20130326"
"00016351540324";"Sexual Healing";"1133966";"102060-0";"";"20130326"
"00016351540423";"Just What You Need";"1133249";"102060-0";"";"20130423"
"00016351540621";"Blue Velvet Soul";"1133236";"102060-0";"";"20130618"
"00016351540720";"Genesis";"1134212";"102060-0";"";"20130521"
"00016351540829";"Soul Quest";"1133824";"102060-0";"";"20130730"
"00016351541024";"In The Moment";"1133830";"102060-0";"";"20130827"
"00016351541123";"Second Chances";"1134031";"102060-0";"";"20130910"
"00016351541222";"Movements Of The Heart";"1134016";"102060-0";"";"20131008"
"00016351541321";"The Morning After";"1133404";"102060-0";"";"20131022"
"00016351541420";"Body Party";"1133143";"102060-0";"";"20131119"
"00016351541529";"Sweet And Sexy";"1133244";"102060-0";"";"20140121"
"00016351541628";"Midnight Love: Sensuous Smooth Jazz At Its Very Best";"1133966";"102060-0";"";"20140204"
"00016351541727";"Jazz Funk Soul";"1133828";"102060-0";"";"20140624"
"00016351541826";"Amplified Soul";"1133825";"102060-0";"";"20140513"
"00016351541925";"The Ultimate Collection Of Sensuous Smooth Jazz Guitar";"1133966";"102060-0";"";"20140708"
"00016351542021";"From Sassy To Divine: The Sarah Vaughan Project";"1133833";"102060-0";"";"20140916"
"00016351542120";"Got 2 Be Groovin'";"1133259";"102060-0";"";"20140819"
"00016351542229";"A Very Maysa Christmas";"1133236";"102060-0";"";"20141027"
"00016351542328";"Retro Forward";"1134032";"102060-0";"";"20141111"
"00016351542427";"A Better Man";"1133739";"102060-0";"";"20150120"
"00016351542526";"Soul Traveler";"1133727";"102060-0";"";"20150120"
"00016351542625";"Does The Divas";"1133143";"102060-0";"";"20150120"
"00016351542724";"Out Of A Dream";"1133249";"102060-0";"";"20150217"
"00016351542823";"Here We Go";"1133983";"102060-0";"";"20150317"
"00016351542922";"Power Of 3";"1134070";"102060-0";"";"20150414"
"00016351543028";"Life Between The Notes";"1133237";"102060-0";"";"20150428"
"00016351543127";"Live In Tokyo";"1133824";"102060-0";"";"20151002"
"00016351543325";"My One And Only One";"1134031";"102060-0";"";"20150526"
"00016351543424";"Back 2 Love";"1133236";"102060-0";"";"20150526"
"00016351543523";"You, Me And Forever";"1133404";"102060-0";"";"20150623"
"00016351543622";"Bridges";"1133233";"102060-0";"";"20150821"
"00016351543721";"All In";"1133830";"102060-0";"";"20151106"
"00016351543820";"More Serious Business";"1133828";"102060-0";"";"20160122"
"00016351543929";"Rhythm And Romance";"1133244";"102060-0";"";"20160603"
"00016351544025";"In Search Of Better Days";"1133825";"102060-0";"";"20160624"
"00016351544124";"Still Euge";"1133259";"102060-0";"";"20160722"
"00016351544223";"Journey To The Heart";"1133824";"102060-0";"";"20160805"
"00016351544322";"Unspoken";"1133976";"102060-0";"";"20160930"
"00016351544421";"Persuasion";"1133249";"102060-0";"";"20161118"
"00016351544520";"Back To Your Heart";"1133246";"102060-0";"";"20161104"
"00016351544629";"Let It Go";"1133266";"102060-0";"";"20170414"
"00016351544728";"Breathless";"1133739";"102060-0";"";"20170224"
"00016351544827";"Around The Horn";"1133238";"102060-0";"";"20170224"
"00016351544926";"Prototype";"1133859";"102060-0";"";"20170324"
"00016351545022";"Just Funkin' Around";"1133830";"102060-0";"";"20170526"
"00016351545121";"Love Is A Battlefield";"1133236";"102060-0";"";"20170526"
"00016351545220";"So Nice";"1133268";"102060-0";"";"20170721"
"00016351545329";"Poetry In Motion";"1133404";"102060-0";"";"20170825"
"00016351545428";"Groove On!";"1133259";"102060-0";"";"20171117"
"00016351545527";"Soul City";"1133727";"102060-0";"";"20180216"
"00016351545626";"Love Inside";"1133246";"102060-0";"";"20180316"
"00016351545725";"Spirit Fingers";"1133726";"102060-0";"";"20180316"
"00016351545824";"Personal Touch";"1133252";"102060-0";"";"20180504"
"00016351545923";"The Music In My Head";"1133840";"102060-0";"";"20180608"
"00016351546029";"Butterflies";"1133836";"102060-0";"";"20180518"
"00016351546128";"Something About You";"1133249";"102060-0";"";"20180727"
"00016351546227";"Impact";"1133859";"102060-0";"";"20180817"
"00016351546326";"What I Like";"1133244";"102060-0";"";"20180907"
"00016351546425";"Jazz Goes To The Movies";"1133833";"102060-0";"";"20181019"
"00016351546524";"Life And Times";"1133829";"102060-0";"";"20190125"
"00016351546623";"The Highest Act Of Love";"1133266";"102060-0";"";"20190222"
"00016351546722";"Echo";"1133824";"102060-0";"";"20190222"
"00016351546821";"Holly";"1133733";"102060-0";"";"20190426"
"00016351546920";"On Another Note";"1133830";"102060-0";"";"20190524"
"00016351547026";"Crossroads";"1133238";"102060-0";"";"20190816"
"00016351547125";"David Benoit And Friends";"1133268";"102060-0";"";"20190823"
"00016351547224";"Unified";"1133249";"102060-0";"";"20200117"
"00016351547323";"Center of the Heart";"1133404";"102060-0";"";"20191115"
"00016351547422";"Echoes Of The Heart";"1133252";"102060-0";"";"20200221"
"00016351547521";"A Woman Like Me";"1133246";"102060-0";"";"20200327"
"00016351547620";"Shakedown";"1133244";"102060-0";"";"20200612"
"00016351547729";"Focus";"1133234";"102060-0";"";"20200626"
"00016351547828";"Sing My Song";"1133259";"102060-0";"";"20200626"
"00016351547927";"Tinted Sky";"1133237";"102060-0";"";"20200626"
"00016351548023";"Double Dealin'";"1133232";"102060-0";"";"20200911"
"00016351548122";"Heart To Heart";"1133266";"102060-0";"";"20200807"
"00016351548207";"Ocean Eyes";"1133143";"102060-0";"";"20201016"
"00016351548306";"Joy!";"1134228";"102060-0";"";"20201030"
"00016351548405";"Gruv Kid";"1133141";"102060-0";"";"20201113"
"00016351548504";"Authentic Life";"1133140";"102060-0";"";"20210129"
"00016351548603";"Twice As Nice";"1126267";"102060-0";"";"20210423"
"00016351548726";"Something About Her";"1133411";"102060-0";"";"20210528"
"00016351548825";"Space-Time";"1133859";"102060-0";"";"20210702"
"00016351548924";"All That Matters";"1133249";"102060-0";"";"20210625"
"00016351549020";"Soul Searchin'";"1136163";"102060-0";"";"20210924"
"00016351549129";"Fire & Desire";"1133252";"102060-0";"";"20210917"
"00016351549228";"Fired Up!";"1178680";"102060-0";"";"20211015"
"00016351570123";"That Unhinged Thing";"1137183";"102060-0";"";"20050620"
"00016351570222";"Brace Yourself! - A Tribute To Otis Blackwell";"1133966";"102060-0";"";"20060123"
"00016351570321";"Space Flyer";"1134074";"102060-0";"";"20130813"
"00016351570420";"Human";"1134048";"102060-0";"";"20130813"
"00016351570529";"Punk: Lost & Found";"1133966";"102060-0";"";"20130813"
"00016351570628";"RadioStationWagon";"1134305";"102060-0";"";"20130813"
"00016351570727";"Lachâ€™s Antihoot: Live From The Fort At Sidewalk CafÃ©";"1133966";"102060-0";"";"20130813"
"00016351570826";"Destination Anywhere";"1135498";"102060-0";"";"20050620"
"00016351571021";"Flux";"1133988";"102060-0";"";"20130813"
"00016351571526";"Choking On Sugar";"1134297";"102060-0";"";"20130813"
"00016351571724";"Iâ€™ve Gotcha Covered";"1141100";"102060-0";"";"20130205"
"00016351572028";"Hit Me";"1134142";"102060-0";"";"20130122"
"00016351572127";"Outside The Beauty Salon";"1135498";"102060-0";"";"20050620"
"00016351572325";"Ska The Third Wave, Vol. 3";"1133966";"102060-0";"";"20050620"
"00016351572424";"Musical Barnacles";"1134038";"102060-0";"";"19970422"
"00016351572523";"Ska Down Her Way: Women Of Ska";"1133966";"102060-0";"";"20130813"
"00016351572622";"Skandalous: I've Gotcha Covered, Vol. 2";"1133966";"102060-0";"";"20130122"
"00016351572721";"Freedom Sounds";"1133966";"102060-0";"";"20130813"
"00016351572820";"Punk Steady";"1134142";"102060-0";"";"20130122"
"00016351572929";"Preserves";"1133988";"102060-0";"";"20130205"
"00016351573025";"Live At Tipitina's";"1136512";"102060-0";"";"20050620"
"00016351573124";"Little Pieces: 1993 - 1995";"1135504";"102060-0";"";"20050620"
"00016351573223";"Put Some Style In It";"1134300";"102060-0";"";"20130205"
"00016351573322";"Ska Down Her Way: Women Of Ska, Vol. 2";"1133966";"102060-0";"";"20130813"
"00016351573520";"Living Room";"1136512";"102060-0";"";"20050620"
"00016351573629";"Age Of Insects";"1134216";"102060-0";"";"20130813"
"00016351573728";"The Growler";"1134279";"102060-0";"";"20130813"
"00016351573827";"Help Us Get High";"1133966";"102060-0";"";"20130205"
"00016351573926";"Salty Heaven";"1135641";"102060-0";"";"20060522"
"00016351574022";"The Mighty King Of Love";"1137182";"102060-0";"";"20050620"
"00016351574121";"Trouble In The Land";"1138263";"102060-0";"";"20050620"
"00016351574220";"I Wanna Be Your Pants";"1134065";"102060-0";"";"20130813"
"00016351574329";"Beware Of Dog";"1136700";"102060-0";"";"20050620"
"00016351574428";"Ash Wednesday Blues";"1136512";"102060-0";"";"20050620"
"00016351574527";"You Should Have Known Me Then";"1137182";"102060-0";"";"20050620"
"00016351574626";"Break the Chain";"1136512";"102060-0";"";"20050620"
"00016351574725";"Bury The Hatchet";"1136512";"102060-0";"";"20050620"
"00016351574923";"Mr. Stranger Man";"1137148";"102060-0";"";"20050620"
"00016351575029";"Love Is All We Need";"1136872";"102060-0";"";"20050620"
"00016351575128";"Try Me Again";"1133894";"102060-0";"";"20060522"
"00016351575326";"Soul Satisfaction";"1133966";"102060-0";"";"20050620"
"00016351575425";"Where Our Love Grows";"1136817";"102060-0";"";"20050620"
"00016351575524";"The Spirit Music Jamia: Dance of the Infidel";"1136623";"102060-0";"";"20050620"
"00016351575623";"Live";"1136817";"102060-0";"";"20050620"
"00016351575722";"The Collection";"1137109";"102060-0";"";"20050620"
"00016351575821";"SOULidified";"1133137";"102060-0";"";"20060417"
"00016351575920";"In The Spirit";"1135568";"102060-0";"";"20060417"
"00016351576026";"Intergalactic Soul";"1138020";"102060-0";"";"20060626"
"00016351576224";"Pillow Talk";"1136889";"102060-0";"";"20050620"
"00016351576323";"Always And Forever";"1133972";"102060-0";"";"20050620"
"00016351576422";"Distant Lover";"1136687";"102060-0";"";"20050620"
"00016351576521";"Love, Niecy Style";"1133742";"102060-0";"";"20050620"
"00016351576620";"A Praise And Worship Celebration";"1133966";"102060-0";"";"20130122"
"00016351576729";"The Center Of My Joy";"1139413";"102060-0";"";"20130205"
"00016351576828";"Three Tenors of Soul: All The Way From Philadelphia";"1178733";"102060-0";"";"20050620"
"00016351577023";"Soul Summit";"1141096";"102060-0";"";"20050620"
"00016351577122";"Altered States";"1138043";"102060-0";"";"20080317"
"00016351577221";"Black Rose";"1133137";"102060-0";"";"20080609"
"00016351577320";"When Love Comes";"1133728";"102060-0";"";"20080526"
"00016351577429";"No Ways Tired";"1133894";"102060-0";"";"20090407"
"00016351577528";"Let's Do It Again";"1133968";"102060-0";"";"20090324"
"00016351577627";"Beautiful Mess";"1136817";"102060-0";"";"20090519"
"00016351577726";"Reveal Your Glory: Live From The Cathedral";"1133924";"102060-0";"";"20090630"
"00016351577825";"Enjoy the Ride";"1139454";"102060-0";"";"20090811"
"00016351577924";"Facts Of Life: The Soul Of Bobby Womack";"1133728";"102060-0";"";"20090825"
"00016351578020";"Balance";"121871";"5559-0";"";"20090929"
"00016351578129";"Who Knew?";"1133949";"102060-0";"";"20100223"
"00016351578228";"The Word Remains";"1139430";"102060-0";"";"20100629"
"00016351578327";"America's Most Wanted";"1133728";"102060-0";"";"20100831"
"00016351578426";"There's Gonna Be A Meeting";"1139340";"102060-0";"";"20100928"
"00016351578525";"Floetic Soul";"1133971";"102060-0";"";"20101109"
"00016351578624";"The Love Album";"1133894";"102060-0";"";"20110517"
"00016351578723";"7â€¦";"268733";"5559-0";"";"20110405"
"00016351578822";"NÃ¼ Revolution";"268734";"5559-0";"";"20110419"
"00016351579027";"Unbelievable";"1133949";"102060-0";"";"20110614"
"00016351579126";"Reborn";"1139281";"102060-0";"";"20110628"
"00016351579225";"Love Has No Recession";"269436";"5559-0";"";"20110628"
"00016351579324";"Sound The Trumpet";"1139342";"102060-0";"";"20110830"
"00016351579423";"Chapter V: Underrated";"1133732";"102060-0";"";"20110927"
"00016351579522";"I'm At Peace";"1133924";"102060-0";"";"20110927"
"00016351579621";"One";"1133905";"102060-0";"";"20120327"
"00016351579720";"Letters From Birmingham";"1134144";"102060-0";"";"20120313"
"00016351579829";"Moving On";"1133245";"102060-0";"";"20120417"
"00016351580122";"Sweet & Sexy Soul";"1133966";"102060-0";"";"20120522"
"00016351580221";"Loving You Moreâ€¦In The Spirit Of Etta James";"1133968";"102060-0";"";"20120731"
"00016351580320";"Music @ The Speed Of Life";"1134106";"102060-0";"";"20120911"
"00016351580429";"The Floacist Presents Floetry Re:Birth";"1133971";"102060-0";"";"20121113"
"00016351580528";"Acoustic Soul Sessions";"1133732";"102060-0";"";"20120925"
"00016351580627";"Great Gospel Hits: The Soul Of Gospel Today";"1133966";"102060-0";"";"20121127"
"00016351580726";"Private View";"1136817";"102060-0";"";"20130129"
"00016351580825";"All That For This";"1134012";"102060-0";"";"20130326"
"00016351580924";"Forward";"1134073";"102060-0";"";"20130521"
"00016351581129";"The Song Is You";"1134217";"102060-0";"";"20140121"
"00016351581327";"Free Worshipper";"1133924";"102060-0";"";"20130827"
"00016351581426";"Famous";"1133967";"102060-0";"";"20130827"
"00016351581525";"9ine";"1133917";"102060-0";"";"20130924"
"00016351581723";"City Heart, Southern Soul";"1133925";"102060-0";"";"20140218"
"00016351581822";"Rise Of The Phoenix Mermaid";"1133971";"102060-0";"";"20140318"
"00016351581921";"Rise Again";"1133918";"102060-0";"";"20140429"
"00016351582027";"The SunRoom";"1133738";"102060-0";"";"20140527"
"00016351582126";"A Couple Friends";"1133916";"102060-0";"";"20140610"
"00016351582225";"Allaboutthefunk";"1134073";"102060-0";"";"20140722"
"00016351582324";"More Than Love";"1134015";"102060-0";"";"20150428"
"00016351582423";"Home: One Special Night At The Kimmel Center";"1133896";"102060-0";"";"20150331"
"00016351582522";"A Different Place";"1133894";"102060-0";"";"20150904"
"00016351582621";"Cognac & Conversation";"1133899";"102060-0";"";"20150807"
"00016351582720";"Dream";"1133956";"102060-0";"";"20151106"
"00016351582829";"The Day Life Began";"1134045";"102060-0";"";"20160122"
"00016351582928";"Quiet Storm";"1133972";"102060-0";"";"20160318"
"00016351583024";"Oil & Water";"1133730";"102060-0";"";"20160212"
"00016351583123";"Refueled";"1133969";"102060-0";"";"20160513"
